2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
102,8,3,59,733,0.615,1.734,13.8,5.2,5.3,0,1,67.3,8371,-34531.326,33246.598,49.007,3873.558,3.792,0.513,226.8263,89.3728,-178.0468,0.6272,,1,1,3866,,,,,,
103,8,3,59,933,0.621,1.764,13.9,5.6,5.4,0,1,66.9,8371,-34531.326,33246.598,49.007,3873.558,3.792,0.513,226.8263,89.3728,-178.0468,0.6272,,1,1,3866,,,,,,
104,8,4,0,133,0.627,1.78,13.9,5.8,5,0,1,61.6,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
105,8,4,0,333,0.633,1.825,13.8,5.4,5,0,1,60.3,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
106,8,4,0,533,0.639,1.84,13.8,5.2,5.3,0,1,63.2,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
107,8,4,0,733,0.645,1.825,13.9,5.3,5.5,0,1,66.2,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
108,8,4,0,934,0.651,1.825,13.8,6.6,4.9,0,1,58.3,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
109,8,4,1,134,0.658,1.916,13.8,5.8,5.1,0,1,58.4,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
110,8,4,1,333,0.665,2.023,13.9,6.9,4.7,0,1,50.5,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
111,8,4,1,533,0.672,2.084,13.8,6.3,4.9,0,1,51.7,8371,-34531.356,33246.575,49.014,3873.596,3.797,0.52,226.7817,89.3566,-178.0913,0.6434,,1,1,3866,,,,,,
112,8,4,1,733,0.679,2.114,13.9,6.4,4.5,0,1,47.2,8371,-34531.377,33246.543,49.013,3873.633,3.788,0.519,226.8591,89.2924,-178.0139,0.7076,,1,1,3866,,,,,,
113,8,4,1,934,0.687,2.266,13.8,6,4.9,0,1,46.6,8371,-34531.377,33246.543,49.013,3873.633,3.788,0.519,226.8591,89.2924,-178.0139,0.7076,,1,1,3866,,,,,,
114,8,4,2,133,0.696,2.418,13.9,6,4.6,0,1,42.2,8371,-34531.377,33246.543,49.013,3873.633,3.788,0.519,226.8591,89.2924,-178.0139,0.7076,,1,1,3866,,,,,,
115,8,4,2,334,0.705,2.555,13.8,6.2,4.8,0,1,41.3,8371,-34531.377,33246.543,49.013,3873.633,3.788,0.519,226.8591,89.2924,-178.0139,0.7076,,1,1,3866,,,,,,
